fid,fecha,hora,dia,mes,prioridad,estatus,localidad,colonia,genero,coordx,coordy
19,31/01/2022,23:42:00,31,1,ALTA,TERMINO,CHIHUAHUA,RIVERAS DEL SACRAMENTO II,HOMBRE,386714,3183815
53,31/01/2022,23:21:00,31,1,ALTA,TERMINO,CHIHUAHUA,DIVISION DEL NORTE,MUJER,399100,3165154
67,31/01/2022,23:10:00,31,1,ALTA,TERMINO,CHIHUAHUA,REVOLUCION,HOMBRE,392865,3175635
76,31/01/2022,23:02:00,31,1,ALTA,TERMINO,CHIHUAHUA,AGRICOLA FRANCISCO VILLA,MUJER,386670,3183588
330,31/01/2022,21:00:00,31,1,ALTA,TERMINO,CHIHUAHUA,QUINTAS CAMPESTRE (SORIANA MIRADOR),HOMBRE,392497,3168715
399,31/01/2022,20:28:00,31,1,ALTA,TERMINO,CHIHUAHUA,RENOVACION,HOMBRE,389882,3174346
400,31/01/2022,20:26:00,31,1,ALTA,TERMINO,CHIHUAHUA,SAN JORGE COLONIA,MUJER,397645,3164824
482,31/01/2022,19:49:00,31,1,ALTA,TERMINO,CHIHUAHUA,FACULTAD DE ZOOTECNIA FRACC.,MUJER,392390,3162490
553,31/01/2022,19:23:00,31,1,ALTA,TERMINO,CHIHUAHUA,VILLA JUAREZ,MUJER,401316,3165165
758,31/01/2022,18:12:00,31,1,ALTA,TERMINO,CHIHUAHUA,LEALTAD II,MUJER,397173,3167756
1034,31/01/2022,16:47:00,31,1,ALTA,TERMINO,CHIHUAHUA,SAN JOSE,HOMBRE,391003,3173825
2158,31/01/2022,10:19:00,31,1,ALTA,TERMINO,CHIHUAHUA,ATENAS II,HOMBRE,393223,3178555
2184,31/01/2022,10:10:00,31,1,ALTA,TERMINO,CHIHUAHUA,"QUINTAS CAROLINAS II, III, IV",MUJER,393330,3177929
2303,31/01/2022,09:24:00,31,1,ALTA,TERMINO,CHIHUAHUA,SAN MARTIN (CERRO DE LA CRUZ),MUJER,393952,3165424
2665,31/01/2022,05:41:00,31,1,ALTA,TERMINO,,VISTAS DEL NORTE,MUJER,386656,3185086
2737,31/01/2022,03:38:00,31,1,ALTA,TERMINO,CHIHUAHUA,VISTA HERMOSA SUR,MUJER,398034,3163584
2740,31/01/2022,03:36:00,31,1,ALTA,TERMINO,CHIHUAHUA,LEALTAD,HOMBRE,397740,3169048
2759,31/01/2022,03:12:00,31,1,ALTA,TERMINO,CHIHUAHUA,PASO DEL NORTE,MUJER,395563,3172274
2809,31/01/2022,02:28:00,31,1,ALTA,TERMINO,CHIHUAHUA,LA MINITA,MUJER,398275,3166965
2811,31/01/2022,02:27:00,31,1,ALTA,TERMINO,CHIHUAHUA,LA MINITA,HOMBRE,398268,3167156
2926,31/01/2022,00:47:00,31,1,ALTA,TERMINO,CHIHUAHUA,FRANCISCO VILLA,MUJER,392282,3174692
3138,30/01/2022,22:58:00,30,1,ALTA,TERMINO,CHIHUAHUA,CERRO DE LA CRUZ,HOMBRE,393749,3164900
3229,30/01/2022,22:17:00,30,1,ALTA,TERMINO,CHIHUAHUA,INDUSTRIAL,MUJER,395280,3170049
3317,30/01/2022,21:46:00,30,1,ALTA,TERMINO,CHIHUAHUA,JARDIN LOS ECULALIPTOS,MUJER,400862,3160975
3345,30/01/2022,21:39:00,30,1,ALTA,TERMINO,CHIHUAHUA,LOS LLANOS,MUJER,398534,3161442
3347,30/01/2022,21:38:00,30,1,ALTA,TERMINO,CHIHUAHUA,GENARO VAZQUEZ,MUJER,393505,3163143
3382,30/01/2022,21:24:00,30,1,ALTA,TERMINO,CHIHUAHUA,GENARO VAZQUEZ,MUJER,393447,3163783
3398,30/01/2022,21:19:00,30,1,ALTA,TERMINO,CHIHUAHUA,GRANJAS CERRO GRANDE,MUJER,398726,3163444
3485,30/01/2022,20:52:00,30,1,ALTA,TERMINO,CHIHUAHUA,ALIANZA POPULAR,MUJER,398628,3165531
3702,30/01/2022,19:50:00,30,1,ALTA,TERMINO,CHIHUAHUA,URBI VILLAS DEL PRADO,MUJER,406078,3170041
3882,30/01/2022,18:56:00,30,1,ALTA,TERMINO,CHIHUAHUA,CORDILLERAS,MUJER,387943,3175546
3986,30/01/2022,18:21:00,30,1,ALTA,TERMINO,CHIHUAHUA,VALLE DEL SUR,HOMBRE,401527,3162248
4011,30/01/2022,18:15:00,30,1,ALTA,TERMINO,CHIHUAHUA,CENTRO,HOMBRE,395018,3169183
4255,30/01/2022,16:38:00,30,1,ALTA,TERMINO,CHIHUAHUA,AMPLIACION MISAEL NU�?�EZ,MUJER,399002,3165779
4286,30/01/2022,16:27:00,30,1,ALTA,TERMINO,CHIHUAHUA,GENARO VAZQUEZ,MUJER,393701,3163195
4348,30/01/2022,16:03:00,30,1,ALTA,TERMINO,CHIHUAHUA,ANGEL TRIAS LOS LEONES,HOMBRE,392593,3170508
4380,30/01/2022,15:45:00,30,1,MEDIA,TERMINO,CHIHUAHUA,SAN LAZARO,MUJER,398117,3165110
5044,30/01/2022,11:23:00,30,1,ALTA,TERMINO,CHIHUAHUA,3 DE MAYO,MUJER,399913,3163551
5123,30/01/2022,10:46:00,30,1,ALTA,TERMINO,CHIHUAHUA,RIVERAS DEL BRAVO,MUJER,386474,3183356
5218,30/01/2022,09:57:00,30,1,ALTA,TERMINO,CHIHUAHUA,VILLA JUAREZ,MUJER,401392,3164974
5226,30/01/2022,09:56:00,30,1,ALTA,TERMINO,CHIHUAHUA,INTEGRACION DE LA SOCIEDAD,MUJER,398965,3164056
5239,30/01/2022,09:49:00,30,1,ALTA,TERMINO,CHIHUAHUA,MIGUEL SIGALA,MUJER,389066,3178904
5243,30/01/2022,09:48:00,30,1,ALTA,TERMINO,CHIHUAHUA,CENTRO,HOMBRE,394550,3167638
5458,30/01/2022,07:27:00,30,1,ALTA,TERMINO,CHIHUAHUA,RIVERAS DEL SACRAMENTO II,HOMBRE,385929,3184796
5545,30/01/2022,06:09:00,30,1,BAJA,TERMINO,CHIHUAHUA,"QUINTAS CAROLINAS II, III, IV",HOMBRE,393277,3177915
5621,30/01/2022,04:34:00,30,1,ALTA,TERMINO,CHIHUAHUA,JARDINES DE ORIENTE,MUJER,404237,3171700
5637,30/01/2022,04:16:00,30,1,BAJA,TERMINO,,RIVERAS DEL SACRAMENTO II,MUJER,386739,3184540
5651,30/01/2022,04:08:00,30,1,ALTA,TERMINO,CHIHUAHUA,CERRO DE LA CRUZ,HOMBRE,393786,3165173
5675,30/01/2022,03:45:00,30,1,ALTA,TERMINO,,VISTAS DEL NORTE,HOMBRE,386881,3185051
5677,30/01/2022,03:44:00,30,1,ALTA,TERMINO,CHIHUAHUA,FRACCIONAMIENTO NOMBRE DE DIOS,MUJER,393996,3172983
5691,30/01/2022,03:35:00,30,1,ALTA,TERMINO,CHIHUAHUA,LA SOCIEDAD,HOMBRE,399620,3161554
5700,30/01/2022,03:31:00,30,1,ALTA,TERMINO,CHIHUAHUA,DIVISION DEL NORTE,MUJER,399750,3164526
5975,30/01/2022,01:26:00,30,1,ALTA,TERMINO,CHIHUAHUA,DESARROLLO URBANO,HOMBRE,397612,3165677
5997,30/01/2022,01:17:00,30,1,ALTA,TERMINO,CHIHUAHUA,VILLA JUAREZ,HOMBRE,401523,3165153
6042,30/01/2022,00:57:00,30,1,ALTA,TERMINO,CHIHUAHUA,FRANCISCO VILLA,MUJER,391643,3173974
6221,29/01/2022,23:57:00,29,1,ALTA,TERMINO,CHIHUAHUA,RIVERAS DEL BRAVO,MUJER,386392,3183764
6309,29/01/2022,23:29:00,29,1,ALTA,TERMINO,CHIHUAHUA,CERRO DE LA CRUZ,MUJER,393886,3164059
6374,29/01/2022,23:06:00,29,1,ALTA,TERMINO,CHIHUAHUA,URBI VILLAS DEL PRADO,HOMBRE,405841,3170729
6494,29/01/2022,22:16:00,29,1,ALTA,TERMINO,CHIHUAHUA,REVOLUCION,HOMBRE,390665,3175686
6507,29/01/2022,22:11:00,29,1,ALTA,TERMINO,CHIHUAHUA,20 ANIVERSARIO,MUJER,388950,3178544
6544,29/01/2022,21:58:00,29,1,ALTA,TERMINO,CHIHUAHUA,ALFREDO CHAVEZ,MUJER,391636,3164813
6600,29/01/2022,21:41:00,29,1,ALTA,TERMINO,CHIHUAHUA,INSURGENTES II,MUJER,389717,3174763
6747,29/01/2022,20:36:00,29,1,ALTA,TERMINO,COLONIA SOTO,SOTO,HOMBRE,388800,3131064
6793,29/01/2022,20:20:00,29,1,ALTA,TERMINO,CHIHUAHUA,REVOLUCION,MUJER,391548,3175855
7213,29/01/2022,17:03:00,29,1,ALTA,TERMINO,CHIHUAHUA,PASO DEL NORTE,MUJER,395564,3172275
7217,29/01/2022,16:59:00,29,1,ALTA,TERMINO,CHIHUAHUA,GRANJAS,HOMBRE,392170,3170879
7460,29/01/2022,14:30:00,29,1,ALTA,TERMINO,CHIHUAHUA,SAN JOSE,HOMBRE,391119,3173813
7809,29/01/2022,12:10:00,29,1,ALTA,TERMINO,CHIHUAHUA,LA NORIA,MUJER,398484,3162420
7898,29/01/2022,11:23:00,29,1,ALTA,TERMINO,CHIHUAHUA,JARDINES DE ORIENTE,HOMBRE,404075,3171657
8011,29/01/2022,10:32:00,29,1,ALTA,TERMINO,CHIHUAHUA,LA HONDONADA (EL PALMAR),HOMBRE,399576,3162008
8260,29/01/2022,07:12:00,29,1,ALTA,TERMINO,CHIHUAHUA,INSURGENTES II,HOMBRE,389993,3174600
8283,29/01/2022,06:51:00,29,1,ALTA,TERMINO,CHIHUAHUA,INFONAVIT NACIONAL,MUJER,390349,3173299
8532,29/01/2022,01:02:00,29,1,ALTA,TERMINO,CHIHUAHUA,SECRETARIA DE LA MARINA,HOMBRE,398468,3162321
8845,28/01/2022,21:29:00,28,1,ALTA,TERMINO,CHIHUAHUA,INSURGENTES II,HOMBRE,389655,3174521
8979,28/01/2022,20:27:00,28,1,ALTA,TERMINO,CHIHUAHUA,LOS ARROYOS,HOMBRE,387544,3178513
9174,28/01/2022,19:26:00,28,1,ALTA,TERMINO,CHIHUAHUA,VICENTE G�?�ERECA,MUJER,388190,3178691
9219,28/01/2022,19:11:00,28,1,ALTA,TERMINO,CHIHUAHUA,CERRO GRANDE,MUJER,398254,3162776
9235,28/01/2022,19:05:00,28,1,ALTA,TERMINO,CHIHUAHUA,LADRILLERAS,HOMBRE,398180,3161774
9370,28/01/2022,17:56:00,28,1,ALTA,TERMINO,CHIHUAHUA,PRADERAS DEL SUR,MUJER,405459,3170066
9537,28/01/2022,17:04:00,28,1,ALTA,TERMINO,CHIHUAHUA,CENTRO,MUJER,394503,3167824
9869,28/01/2022,14:36:00,28,1,ALTA,TERMINO,CHIHUAHUA,CAMPESINA,HOMBRE,392360,3166029
9878,28/01/2022,14:35:00,28,1,ALTA,TERMINO,CHIHUAHUA,AMPLIACION 2 DE OCTUBRE,MUJER,398041,3168204
10095,28/01/2022,13:08:00,28,1,ALTA,TERMINO,CHIHUAHUA,LOS MEZQUITES,MUJER,389794,3171979
10242,28/01/2022,12:02:00,28,1,ALTA,TERMINO,CHIHUAHUA,TIERRA Y LIBERTAD,HOMBRE,389975,3173594
10355,28/01/2022,11:28:00,28,1,ALTA,TERMINO,CHIHUAHUA,KARIKE,MUJER,391902,3172690
10411,28/01/2022,11:03:00,28,1,ALTA,TERMINO,,NP,MUJER,377650,3200123
10545,28/01/2022,09:50:00,28,1,ALTA,TERMINO,CHIHUAHUA,FRANCISCO VILLA,HOMBRE,392860,3174630
10639,28/01/2022,08:48:00,28,1,BAJA,TERMINO,CHIHUAHUA,LAS MALVINAS,HOMBRE,392302,3163506
10830,28/01/2022,06:18:00,28,1,ALTA,TERMINO,CHIHUAHUA,FRANCISCO VILLA,HOMBRE,392346,3174544
10835,28/01/2022,06:08:00,28,1,ALTA,TERMINO,CHIHUAHUA,PORVENIR I,MUJER,390992,3180101
